hostname	publicSuffix	source	line
123hjemmeside.no	123hjemmeside.no	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005891
123homepage.it	123homepage.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005892
123kotisivu.fi	123kotisivu.fi	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005919
123minsida.se	123minsida.se	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005939
123miweb.es	123miweb.es	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005940
123paginaweb.pt	123paginaweb.pt	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006050
123siteweb.fr	123siteweb.fr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006113
123webseite.at	123webseite.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006165
123webseite.de	123webseite.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006166
123website.be	123website.be	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006167
123website.ch	123website.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006168
123website.lu	123website.lu	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006170
123website.nl	123website.nl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006171
12hp.at	12hp.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006352
12hp.ch	12hp.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006353
12hp.de	12hp.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006354
1337.pictures	1337.pictures	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006480
1cooldns.com	1cooldns.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1008358
1kapp.com	1kapp.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1008803
2-d.jp	2-d.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1015677
2038.io	2038.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	1015923
2ix.at	2ix.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018373
2ix.ch	2ix.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018374
2ix.de	2ix.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018375
3utilities.com	3utilities.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1021569
4lima.at	4lima.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023212
4lima.ch	4lima.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023213
4lima.de	4lima.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023214
4u.com	4u.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023565
5g.in	5g.in	C:\Users\PC\Downloads\top100110millionurls\01.txt	1025440
a2hosted.com	a2hosted.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1034492
ab.ca	ab.ca	C:\Users\PC\Downloads\top100110millionurls\01.txt	1035881
abc.br	abc.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1036300
abkhazia.su	abkhazia.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1037096
abruzzo.it	abruzzo.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1037714
ac.ae	ac.ae	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038231
ac.at	ac.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038232
ac.bd	ac.bd	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038233
ac.be	ac.be	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038234
ac.bw	ac.bw	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038235
ac.cn	ac.cn	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038238
ac.cr	ac.cr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038240
ac.cy	ac.cy	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038241
ac.fj	ac.fj	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038244
ac.gov.br	ac.gov.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038245
ac.id	ac.id	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038247
ac.il	ac.il	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038248
ac.im	ac.im	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038249
ac.in	ac.in	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038250
ac.ir	ac.ir	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038251
ac.jp	ac.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038252
ac.ke	ac.ke	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038253
ac.kr	ac.kr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038254
ac.lk	ac.lk	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038255
ac.ma	ac.ma	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038256
ac.me	ac.me	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038257
ac.mu	ac.mu	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038258
ac.mw	ac.mw	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038259
ac.mz	ac.mz	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038260
ac.nz	ac.nz	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038261
ac.pa	ac.pa	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038262
ac.pg	ac.pg	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038263
ac.rs	ac.rs	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038264
ac.ru	ac.ru	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038265
ac.rw	ac.rw	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038266
ac.th	ac.th	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038267
ac.tz	ac.tz	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038268
ac.ug	ac.ug	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038269
ac.uk	ac.uk	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038270
ac.vn	ac.vn	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038271
ac.za	ac.za	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038272
ac.zm	ac.zm	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038273
ac.zw	ac.zw	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038274
accesscam.org	accesscam.org	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038884
act.edu.au	act.edu.au	C:\Users\PC\Downloads\top100110millionurls\01.txt	1041028
activetrail.biz	activetrail.biz	C:\Users\PC\Downloads\top100110millionurls\01.txt	1041637
ad.jp	ad.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1042259
adaptable.app	adaptable.app	C:\Users\PC\Downloads\top100110millionurls\01.txt	1042618
adimo.co.uk	adimo.co.uk	C:\Users\PC\Downloads\top100110millionurls\01.txt	1043934
adm.br	adm.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1044249
adobeaemcloud.com	adobeaemcloud.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046396
adobeaemcloud.net	adobeaemcloud.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046397
adobeio-static.net	adobeio-static.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046423
