hostname	firstLabel	labelCount	suggestedExactHostRule	suggestedPslOverrideLabel	networkStatus
agric.za	agric	2	agric.za	agric	not-tested
agrigento.it	agrigento	2	agrigento.it	agrigento	not-tested
agro.pl	agro	2	agro.pl	agro	not-tested
ah.cn	ah	2	ah.cn	ah	not-tested
ai.in	ai	2	ai.in	ai	not-tested
ai.kr	ai	2	ai.kr	ai	not-tested
ai.vn	ai	2	ai.vn	ai	not-tested
aichi.jp	aichi	2	aichi.jp	aichi	not-tested
aid.pl	aid	2	aid.pl	aid	not-tested
aivencloud.com	aivencloud	2	aivencloud.com	aivencloud	not-tested
aju.br	aju	2	aju.br	aju	not-tested
ak.us	ak	2	ak.us	ak	not-tested
akadns.net	akadns	2	akadns.net	akadns	not-tested
akamai-staging.net	akamai-staging	2	akamai-staging.net	akamai-staging	not-tested
akamai.net	akamai	2	akamai.net	akamai	not-tested
akamaiedge-staging.net	akamaiedge-staging	2	akamaiedge-staging.net	akamaiedge-staging	not-tested
akamaiedge.net	akamaiedge	2	akamaiedge.net	akamaiedge	not-tested
akamaihd.net	akamaihd	2	akamaihd.net	akamaihd	not-tested
akamaiorigin.net	akamaiorigin	2	akamaiorigin.net	akamaiorigin	not-tested
akamaized-staging.net	akamaized-staging	2	akamaized-staging.net	akamaized-staging	not-tested
akamaized.net	akamaized	2	akamaized.net	akamaized	not-tested
akita.jp	akita	2	akita.jp	akita	not-tested
aktyubinsk.su	aktyubinsk	2	aktyubinsk.su	aktyubinsk	not-tested
al.gov.br	al	3	al.gov.br	al	not-tested
al.it	al	2	al.it	al	not-tested
al.leg.br	al	3	al.leg.br	al	not-tested
al.no	al	2	al.no	al	not-tested
al.us	al	2	al.us	al	not-tested
aland.fi	aland	2	aland.fi	aland	not-tested
alessandria.it	alessandria	2	alessandria.it	alessandria	not-tested
aliases121.com	aliases121	2	aliases121.com	aliases121	not-tested
alpha-myqnapcloud.com	alpha-myqnapcloud	2	alpha-myqnapcloud.com	alpha-myqnapcloud	not-tested
alt.za	alt	2	alt.za	alt	not-tested
alta.no	alta	2	alta.no	alta	not-tested
altervista.org	altervista	2	altervista.org	altervista	not-tested
altoadige.it	altoadige	2	altoadige.it	altoadige	not-tested
alumni.in	alumni	2	alumni.in	alumni	not-tested
alwaysdata.net	alwaysdata	2	alwaysdata.net	alwaysdata	not-tested
am.br	am	2	am.br	am	not-tested
am.gov.br	am	3	am.gov.br	am	not-tested
am.in	am	2	am.in	am	not-tested
am.leg.br	am	3	am.leg.br	am	not-tested
amli.no	amli	2	amli.no	amli	not-tested
amplifyapp.com	amplifyapp	2	amplifyapp.com	amplifyapp	not-tested
an.it	an	2	an.it	an	not-tested
ancona.it	ancona	2	ancona.it	ancona	not-tested
angry.jp	angry	2	angry.jp	angry	not-tested
antagonist.cloud	antagonist	2	antagonist.cloud	antagonist	not-tested
ao.it	ao	2	ao.it	ao	not-tested
aomori.jp	aomori	2	aomori.jp	aomori	not-tested
aosta.it	aosta	2	aosta.it	aosta	not-tested
ap.gov.br	ap	3	ap.gov.br	ap	not-tested
ap.gov.pl	ap	3	ap.gov.pl	ap	not-tested
ap.it	ap	2	ap.it	ap	not-tested
ap.leg.br	ap	3	ap.leg.br	ap	not-tested
ap.ngrok.io	ap	3	ap.ngrok.io	ap	not-tested
api.br	api	2	api.br	api	not-tested
api.gov.uk	api	3	api.gov.uk	api	not-tested
apigee.io	apigee	2	apigee.io	apigee	not-tested
app-ionos.space	app-ionos	2	app-ionos.space	app-ionos	not-tested
app.br	app	2	app.br	app	not-tested
appchizi.com	appchizi	2	appchizi.com	appchizi	not-tested
applinzi.com	applinzi	2	applinzi.com	applinzi	not-tested
apps-1and1.com	apps-1and1	2	apps-1and1.com	apps-1and1	not-tested
apps-1and1.net	apps-1and1	2	apps-1and1.net	apps-1and1	not-tested
appspaceusercontent.com	appspaceusercontent	2	appspaceusercontent.com	appspaceusercontent	not-tested
appspot.com	appspot	2	appspot.com	appspot	not-tested
appwrite.network	appwrite	2	appwrite.network	appwrite	not-tested
aq.it	aq	2	aq.it	aq	not-tested
aquila.it	aquila	2	aquila.it	aquila	not-tested
ar.it	ar	2	ar.it	ar	not-tested
ar.us	ar	2	ar.us	ar	not-tested
ardal.no	ardal	2	ardal.no	ardal	not-tested
aremark.no	aremark	2	aremark.no	aremark	not-tested
arezzo.it	arezzo	2	arezzo.it	arezzo	not-tested
arkhangelsk.su	arkhangelsk	2	arkhangelsk.su	arkhangelsk	not-tested
armenia.su	armenia	2	armenia.su	armenia	not-tested
arq.br	arq	2	arq.br	arq	not-tested
art.br	art	2	art.br	art	not-tested
art.pl	art	2	art.pl	art	not-tested
arts.ro	arts	2	arts.ro	arts	not-tested
arvanedge.ir	arvanedge	2	arvanedge.ir	arvanedge	not-tested
ashgabad.su	ashgabad	2	ashgabad.su	ashgabad	not-tested
askvoll.no	askvoll	2	askvoll.no	askvoll	not-tested
asn.au	asn	2	asn.au	asn	not-tested
