"hostname"	"firstClassification"	"secondClassification"	"firstDnsStatus"	"secondDnsStatus"	"firstHttpStatus"	"firstHttpsStatus"	"secondHttpStatus"	"secondHttpsStatus"	"firstFinalHostname"	"secondFinalHostname"	"decision"
"sr.gov.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"sr.gov.pl"	"sr.gov.pl"	"repeatedly-not-resolved"
"sr.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"sr.it"	"sr.it"	"repeatedly-not-resolved"
"srv.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"srv.br"	"srv.br"	"repeatedly-not-resolved"
"ss.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ss.it"	"ss.it"	"repeatedly-not-resolved"
"stackhero-network.com"	"dns-only"	"dns-only"	"resolved"	"resolved"	"301"	"0"	"301"	"0"	"stackhero-network.com"	"stackhero-network.com"	"operational-evidence"
"stackit.rocks"	"dns-only"	"dns-only"	"resolved"	"resolved"	"302"	"302"	"302"	"302"	"stackit.rocks"	"stackit.rocks"	"operational-evidence"
"stackit.run"	"dns-only"	"dns-only"	"resolved"	"resolved"	"302"	"302"	"302"	"302"	"stackit.run"	"stackit.run"	"operational-evidence"
"stackit.zone"	"dns-only"	"dns-only"	"resolved"	"resolved"	"302"	"302"	"302"	"302"	"stackit.zone"	"stackit.zone"	"operational-evidence"
"stalowa-wola.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"stalowa-wola.pl"	"stalowa-wola.pl"	"repeatedly-not-resolved"
"stange.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"stange.no"	"stange.no"	"repeatedly-not-resolved"
"starachowice.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"starachowice.pl"	"starachowice.pl"	"repeatedly-not-resolved"
"stargard.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"stargard.pl"	"stargard.pl"	"repeatedly-not-resolved"
"starostwo.gov.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"starostwo.gov.pl"	"starostwo.gov.pl"	"repeatedly-not-resolved"
"stat.no"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"stat.no"	"stat.no"	"inconclusive"
"store.ro"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"store.ro"	"store.ro"	"repeatedly-not-resolved"
"strapiapp.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"strapiapp.com"	"strapiapp.com"	"repeatedly-not-resolved"
"stryn.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"stryn.no"	"stryn.no"	"repeatedly-not-resolved"
"sumomo.ne.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"sumomo.ne.jp"	"sumomo.ne.jp"	"repeatedly-not-resolved"
"suohkan.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"suohkan.no"	"suohkan.no"	"repeatedly-not-resolved"
"surveys.so"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"surveys.so"	"surveys.so"	"repeatedly-not-resolved"
"suwalki.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"suwalki.pl"	"suwalki.pl"	"repeatedly-not-resolved"
"sv.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"sv.it"	"sv.it"	"repeatedly-not-resolved"
