"hostname"	"firstClassification"	"secondClassification"	"firstDnsStatus"	"secondDnsStatus"	"firstHttpStatus"	"firstHttpsStatus"	"secondHttpStatus"	"secondHttpsStatus"	"firstFinalHostname"	"secondFinalHostname"	"decision"
"us.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"us.in"	"us.in"	"repeatedly-not-resolved"
"us.kg"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"us.kg"	"us.kg"	"repeatedly-not-resolved"
"usgovcloudapp.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"usgovcloudapp.net"	"usgovcloudapp.net"	"repeatedly-not-resolved"
"usgovtrafficmanager.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"usgovtrafficmanager.net"	"usgovtrafficmanager.net"	"repeatedly-not-resolved"
"ustka.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ustka.pl"	"ustka.pl"	"repeatedly-not-resolved"
"ut.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ut.us"	"ut.us"	"repeatedly-not-resolved"
"utsira.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"utsira.no"	"utsira.no"	"repeatedly-not-resolved"
"uw.gov.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"uw.gov.pl"	"uw.gov.pl"	"repeatedly-not-resolved"
"uwu.ai"	"dns-only"	"dns-only"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"uwu.ai"	"uwu.ai"	"repeatedly-dns-only"
"uz.ua"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"uz.ua"	"uz.ua"	"repeatedly-not-resolved"
"uzhgorod.ua"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"uzhgorod.ua"	"uzhgorod.ua"	"repeatedly-not-resolved"
"va.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"va.it"	"va.it"	"repeatedly-not-resolved"
"va.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"va.us"	"va.us"	"repeatedly-not-resolved"
