hostname	testedAt	dnsStatus	ipv4	ipv6	dnsError	httpClassification	httpStatus	httpRedirectCount	httpRedirectChain	httpFinalUrl	httpFinalHostname	httpContentType	httpServer	httpChallengeSuspected	httpError	httpsClassification	httpsStatus	httpsRedirectCount	httpsRedirectChain	httpsFinalUrl	httpsFinalHostname	httpsContentType	httpsServer	httpsChallengeSuspected	httpsError	combinedClassification	suggestedAction
co.uk	2026-07-20T22:58:55.0019876+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://co.uk/	co.uk			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://co.uk/	co.uk			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
gov.uk	2026-07-20T22:58:55.7364199+00:00	resolved	151.101.0.144,151.101.128.144,151.101.192.144,151.101.64.144	2a04:4e42::144,2a04:4e42:200::144,2a04:4e42:400::144,2a04:4e42:600::144,2a04:4e42:800::144,2a04:4e42:a00::144,2a04:4e42:c00::144,2a04:4e42:e00::144		http-success	200	2	https://gov.uk/ -> https://www.gov.uk/	https://www.gov.uk/	www.gov.uk	text/html; charset=utf-8	nginx	False		https-success	200	1	https://www.gov.uk/	https://www.gov.uk/	www.gov.uk	text/html; charset=utf-8	nginx	False		redirect-and-https-success	review-redirect-and-final-host
nhs.uk	2026-07-20T22:58:56.9239912+00:00	resolved	4.158.93.42			http-success	200	2	http://www.nhs.uk/ -> https://www.nhs.uk/	https://www.nhs.uk/	www.nhs.uk	text/html; charset=utf-8		False		https-success	200	1	https://www.nhs.uk/	https://www.nhs.uk/	www.nhs.uk	text/html; charset=utf-8		False		redirect-and-https-success	review-redirect-and-final-host
